Wavelength,Intensity
403.0689655172414,3.6396666666666673
404.2241379310345,3.689666666666667
405.37931034482756,3.8363333333333336
406.5344827586207,3.8830000000000005
407.68965517241384,3.769666666666667
408.84482758620686,3.9196666666666666
410.0,4.1963333333333335
411.15517241379314,4.419666666666666
412.3103448275862,4.559666666666667
413.4655172413793,4.619666666666667
414.62068965517244,4.799666666666667
415.7758620689655,4.892999999999999
416.9310344827586,5.149666666666667
418.08620689655174,5.486333333333333
419.2413793103448,5.969666666666667
420.3965517241379,6.042999999999999
421.55172413793105,6.269666666666666
422.7068965517241,6.603
423.8620689655172,7.186333333333334
425.01724137931035,7.539666666666667
426.17241379310343,7.769666666666666
427.32758620689657,8.126333333333333
428.48275862068965,8.866333333333333
429.6379310344828,9.443
430.7931034482759,9.892999999999999
431.94827586206895,10.139666666666667
433.1034482758621,10.759666666666666
434.2586206896552,11.023
435.41379310344826,11.769666666666666
436.5689655172414,12.476333333333333
437.7241379310345,13.366333333333332
438.87931034482756,14.216333333333333
440.0344827586207,15.373
441.1896551724138,16.146333333333335
442.3448275862069,16.993000000000002
443.5,17.863000000000003
444.65517241379314,18.916333333333334
445.8103448275862,19.729666666666667
446.9655172413793,20.553
448.12068965517244,21.46966666666667
449.2758620689655,22.556333333333335
450.4310344827586,23.33966666666667
451.58620689655174,24.166333333333334
452.7413793103448,25.086333333333336
453.8965517241379,25.90966666666667
455.05172413793105,26.893
456.2068965517241,27.833000000000002
457.3620689655172,28.933
458.51724137931035,29.556333333333335
459.67241379310343,30.66966666666667
460.82758620689657,31.223
461.98275862068965,32.13633333333333
463.1379310344828,33.163000000000004
464.2931034482759,33.60966666666667
465.44827586206895,34.52966666666667
466.6034482758621,35.126333333333335
467.7586206896552,36.14966666666667
468.91379310344826,36.656333333333336
470.0689655172414,37.63966666666667
471.2241379310345,37.96633333333334
472.37931034482756,38.446333333333335
473.5344827586207,38.893
474.6896551724138,39.273
475.8448275862069,39.43633333333334
477.0,39.309666666666665
478.15517241379314,39.273
479.3103448275862,39.39633333333334
480.4655172413793,39.323
481.62068965517244,39.239666666666665
482.7758620689655,38.503
483.9310344827586,38.293
485.08620689655174,37.92966666666667
486.2413793103448,37.463
487.3965517241379,36.573
488.55172413793105,36.013
489.7068965517241,35.519666666666666
490.86206896551727,35.16966666666667
492.01724137931035,34.643
493.17241379310343,34.159666666666666
494.32758620689657,33.13633333333333
495.48275862068965,32.713
496.6379310344828,32.143
497.7931034482759,31.696333333333335
498.94827586206895,30.936333333333337
500.1034482758621,30.21633333333334
501.2586206896552,30.03966666666667
502.41379310344826,29.70966666666667
503.5689655172414,29.13966666666667
504.7241379310345,28.416333333333334
505.87931034482756,27.726333333333336
507.0344827586207,27.119666666666667
508.1896551724138,26.21966666666667
509.3448275862069,25.78966666666667
510.5,25.319666666666667
511.6551724137931,24.60966666666667
512.8103448275862,24.163
513.9655172413793,23.476333333333336
515.1206896551724,22.723000000000003
516.2758620689655,21.869666666666667
517.4310344827586,21.033
518.5862068965517,20.33966666666667
519.7413793103449,19.786333333333335
520.8965517241379,19.23966666666667
522.051724137931,18.759666666666668
523.2068965517242,17.833000000000002
524.3620689655172,17.12966666666667
525.5172413793103,16.60966666666667
526.6724137931035,16.036333333333335
527.8275862068965,15.629666666666667
528.9827586206897,14.829666666666666
530.1379310344828,14.289666666666667
531.2931034482758,13.802999999999999
532.448275862069,13.103
533.6034482758621,12.753
534.7586206896551,12.222999999999999
535.9137931034483,11.863
537.0689655172414,11.589666666666666
538.2241379310345,11.293
539.3793103448276,10.863
540.5344827586207,10.446333333333333
541.6896551724138,9.986333333333333
542.8448275862069,9.913
544.0,9.603
545.1551724137931,9.213
546.3103448275862,8.939666666666666
547.4655172413793,8.729666666666667
548.6206896551724,8.476333333333333
549.7758620689655,8.109666666666666
550.9310344827586,7.763
552.0862068965517,7.5263333333333335
553.2413793103449,7.336333333333332
554.3965517241379,7.116333333333333
555.551724137931,7.0329999999999995
556.7068965517242,6.889666666666667
557.8620689655172,6.676333333333334
559.0172413793103,6.286333333333333
560.1724137931035,5.843
561.3275862068965,5.6996666666666655
562.4827586206897,5.683
563.6379310344828,5.3263333333333325
564.7931034482758,5.176333333333334
565.948275862069,5.119666666666667
567.1034482758621,4.9896666666666665
568.2586206896551,4.7829999999999995
569.4137931034483,4.679666666666668
570.5689655172414,4.263
